
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      5,668 K
Registry                       136 Services                   0     29,448 K
smss.exe                       624 Services                   0        912 K
csrss.exe                      952 Services                   0      5,804 K
wininit.exe                    732 Services                   0      6,416 K
services.exe                  1032 Services                   0     10,320 K
lsass.exe                     1056 Services                   0     21,444 K
svchost.exe                   1252 Services                   0     28,012 K
fontdrvhost.exe               1272 Services                   0      2,396 K
WUDFHost.exe                  1368 Services                   0     16,240 K
svchost.exe                   1416 Services                   0     18,860 K
svchost.exe                   1468 Services                   0      9,384 K
svchost.exe                   1652 Services                   0      3,224 K
svchost.exe                   1700 Services                   0     10,328 K
WUDFHost.exe                  1756 Services                   0      6,012 K
svchost.exe                   1844 Services                   0     11,128 K
svchost.exe                   1892 Services                   0      6,400 K
svchost.exe                   1900 Services                   0     16,052 K
svchost.exe                   1916 Services                   0     19,296 K
svchost.exe                   1952 Services                   0      9,584 K
svchost.exe                   1964 Services                   0     10,100 K
svchost.exe                   1976 Services                   0      9,164 K
svchost.exe                   1552 Services                   0     14,948 K
IntelCpHDCPSvc.exe            1804 Services                   0      5,104 K
svchost.exe                   2056 Services                   0      8,928 K
svchost.exe                   2148 Services                   0      7,772 K
svchost.exe                   2320 Services                   0      8,152 K
svchost.exe                   2328 Services                   0      6,112 K
svchost.exe                   2472 Services                   0      9,424 K
svchost.exe                   2496 Services                   0     12,776 K
svchost.exe                   2628 Services                   0      8,948 K
igfxCUIServiceN.exe           2652 Services                   0     10,412 K
svchost.exe                   2716 Services                   0      7,784 K
SynTPEnhService.exe           3068 Services                   0      9,276 K
QMEmulatorService.exe         3100 Services                   0      9,684 K
svchost.exe                   3180 Services                   0      7,532 K
svchost.exe                   3220 Services                   0     24,212 K
svchost.exe                   3352 Services                   0     17,980 K
svchost.exe                   3376 Services                   0      5,500 K
svchost.exe                   3384 Services                   0      6,720 K
svchost.exe                   3452 Services                   0      8,188 K
SysInfoCap.exe                3460 Services                   0     18,900 K
NetworkCap.exe                3472 Services                   0      7,088 K
svchost.exe                   3480 Services                   0      3,808 K
DiagsCap.exe                  3496 Services                   0     12,936 K
AppHelperCap.exe              3504 Services                   0     17,956 K
TouchpointAnalyticsClient     3516 Services                   0     21,764 K
Memory Compression            3544 Services                   0   1,52,848 K
svchost.exe                   3716 Services                   0     16,128 K
svchost.exe                   3924 Services                   0     18,224 K
svchost.exe                   4016 Services                   0     13,864 K
svchost.exe                   4084 Services                   0      6,744 K
svchost.exe                   3324 Services                   0      9,876 K
svchost.exe                   3656 Services                   0     18,428 K
unsecapp.exe                  2784 Services                   0      7,620 K
svchost.exe                   4128 Services                   0     12,328 K
WmiPrvSE.exe                  4184 Services                   0     13,412 K
spoolsv.exe                   4376 Services                   0     13,028 K
svchost.exe                   4408 Services                   0     23,288 K
svchost.exe                   4460 Services                   0      7,108 K
svchost.exe                   4512 Services                   0      7,924 K
armsvc.exe                    4800 Services                   0      6,792 K
svchost.exe                   4812 Services                   0     24,772 K
svchost.exe                   4832 Services                   0     28,700 K
svchost.exe                   4824 Services                   0     12,676 K
OfficeClickToRun.exe          4844 Services                   0     23,664 K
AdskAccessServiceHost.exe     4852 Services                   0     15,236 K
nssm.exe                      4868 Services                   0      5,496 K
esif_uf.exe                   4892 Services                   0      5,716 K
HPCommRecovery.exe            4968 Services                   0     13,780 K
OneApp.IGCC.WinService.ex     5008 Services                   0     14,392 K
IntelAudioService.exe         5040 Services                   0     10,600 K
svchost.exe                   4720 Services                   0     10,620 K
svchost.exe                   5132 Services                   0      8,184 K
mysqld.exe                    5156 Services                   0      6,180 K
RtkAudUService64.exe          5168 Services                   0     13,364 K
RstMwService.exe              5184 Services                   0      7,344 K
RtkBtManServ.exe              5204 Services                   0      6,644 K
SECOMN64.exe                  5264 Services                   0      8,868 K
svchost.exe                   5412 Services                   0      5,080 K
turbo_vpn-service.exe         5480 Services                   0      8,104 K
expressvpnd.exe               5488 Services                   0     17,940 K
WMIRegistrationService.ex     5556 Services                   0     12,672 K
